model,accuracy
lr_1428,0.3422
lr_1468,0.4787
lr_0691,0.6315
lr_3667,0.6764
lr_3683,0.7755
lr_2051,0.7619
lr_5188,0.4638
lr_2955,0.3534
lr_0162,0.6119
lr_4123,0.2951
lr_0560,0.7613
lr_2103,0.2763
lr_3091,0.7847
lr_5250,0.4592
lr_4261,0.7535
lr_1278,0.4059
lr_4361,0.8195
lr_2725,0.3518
lr_4703,0.573
lr_1233,0.4077
lr_0410,0.7873
lr_2111,0.2732
lr_1464,0.4184
lr_0171,0.728
lr_1846,0.2892
lr_2038,0.7436
lr_4459,0.2198
lr_0651,0.6999
lr_0563,0.7772
lr_3096,0.6115
lr_3566,0.8071
lr_2023,0.1896
lr_5128,0.4461
lr_1241,0.342
lr_4229,0.6503
lr_4543,0.4045
lr_1560,0.4586
lr_3708,0.7436
lr_2884,0.2579
lr_5013,0.789
lr_0653,0.3707
lr_1289,0.4405
lr_0565,0.7843
lr_1131,0.2929
lr_5189,0.4694
lr_1135,0.3104
lr_1290,0.3894
lr_1971,0.6038
lr_4748,0.3641
lr_2777,0.8569
lr_1212,0.2879
